email,name,phone,visit_date,department,ease_of_appointment,accessibility,ease_of_finding,parking,atmosphere,receptionist,seat_availability,waiting_time,doctor_approach,doubt_clearing,problem_explanation,overall_satisfaction
figueroajohn@doyle.net,Javier Johnson,389.083.8637,2025-04-09,Cardiology,1,1,3,2,2,2,1,5,1,5,4,2.454545455
blakeerik@yahoo.com,Christopher Bernard,116-155-9407x81618,2025-04-09,Cardiology,1,1,2,2,5,5,1,5,2,5,4,3.0
barbara10@hotmail.com,Dylan Miller,164.752.5534,2025-04-09,Cardiology,4,5,3,1,2,4,3,3,2,2,3,2.909090909090909
amandasanchez@gray-mayo.net,Frederick Tate,3056413953,2025-04-09,Cardiology,1,4,1,3,3,5,3,1,4,5,1,2.8181818181818183
pwilkerson@yahoo.com,Charles Mcgee,+1-496-965-3287,2025-04-09,Cardiology,1,5,3,5,3,5,2,1,1,2,3,2.8181818181818183
callahaneric@conner.org,James Ferrell,480.184.5146x27048,2025-04-09,Cardiology,2,1,4,3,4,3,2,3,3,2,3,2.727272727272727
harrellkenneth@romero.com,Paula Moreno,9570154303,2025-04-09,Cardiology,5,2,5,2,2,4,4,3,5,2,3,3.3636363636363638
dennislisa@cannon.net,Joseph Obrien,834.657.8713,2025-04-09,Cardiology,2,1,3,4,3,1,2,5,3,2,4,2.727272727272727
morganbrianna@chapman.com,Amy Jones,5183473829,2025-04-09,Cardiology,4,2,3,2,2,5,5,3,5,4,5,3.6363636363636362
kristenaguirre@gmail.com,Matthew Gomez,(701)065-1333x87262,2025-04-09,Cardiology,3,2,2,5,4,1,1,1,2,2,4,2.4545454545454546
ewright@yahoo.com,Savannah Garcia,+1-801-326-7736x0260,2025-04-09,Cardiology,1,4,4,5,4,5,3,5,1,1,5,3.4545454545454546
sara74@yahoo.com,Monica Logan,+1-723-430-9805x00978,2025-04-09,Cardiology,3,1,3,4,2,4,1,3,5,2,5,3.0
yuchristopher@jones.com,Todd Hudson,001-909-169-9854,2025-04-09,Cardiology,3,5,5,2,2,3,2,5,5,1,5,3.4545454545454546
john62@brewer.com,Marc Hart,183-842-5135,2025-04-09,Cardiology,4,1,1,3,3,2,1,2,5,1,1,2.1818181818181817
samueldaniels@yahoo.com,Victoria Valdez,8412411824,2025-04-09,Cardiology,1,5,2,2,4,5,2,3,5,5,4,3.4545454545454546
jenniferharris@hotmail.com,Kathy King,1640052427,2025-04-09,Cardiology,5,2,3,4,3,4,5,4,1,2,2,3.1818181818181817
rodriguezsierra@hotmail.com,Kimberly Davenport,001-826-204-5053,2025-04-09,Cardiology,3,1,5,5,2,5,2,1,1,1,2,2.5454545454545454
gomezanita@dickson-brady.com,Vanessa Cochran,(025)634-2160x73375,2025-04-09,Cardiology,1,3,1,5,2,3,4,2,5,2,5,3.0
jeffreykeller@yahoo.com,Sean Rasmussen,586-850-1429x401,2025-04-09,Cardiology,4,2,4,4,2,1,1,4,3,4,4,3.0
jessica56@hotmail.com,Mrs. Stephanie Lee,6088356159,2025-04-09,Cardiology,1,1,1,4,3,1,2,2,2,5,4,2.3636363636363638
cortezkevin@yahoo.com,Erika Terry,+1-236-629-9468,2025-04-09,Cardiology,4,2,3,4,2,1,4,5,1,1,5,2.909090909090909
justin69@pena.com,Rebecca Moyer,001-214-895-1343x3200,2025-04-09,Cardiology,1,2,2,4,4,4,2,4,1,2,4,2.727272727272727
xcarr@gibson.org,Michael Snyder,201.632.8708,2025-04-09,Cardiology,4,3,4,3,4,5,4,2,2,3,2,3.272727272727273
bryantlaurie@schmidt.info,Michelle Wagner,+1-727-743-4873,2025-04-09,Cardiology,5,5,1,3,1,1,5,4,5,5,2,3.3636363636363638
sjones@gmail.com,Francisco Fernandez,(236)231-6658,2025-04-09,Cardiology,5,1,2,1,5,1,2,4,1,5,2,2.6363636363636362
abrown@yahoo.com,Lauren Dominguez,001-967-054-6688x93734,2025-04-09,Cardiology,5,1,5,1,4,5,5,5,3,3,2,3.5454545454545454
vjohnson@hotmail.com,Jennifer Martin,298.069.9016x272,2025-04-09,Cardiology,2,3,4,2,3,4,3,1,1,4,5,2.909090909090909
nicholas37@rogers-hobbs.com,Sandra King,708-053-1003,2025-04-09,Cardiology,1,1,5,2,5,3,2,3,1,2,3,2.5454545454545454
howelljohn@caldwell-elliott.com,David Wood,+1-912-419-0496x631,2025-04-09,Cardiology,2,4,5,3,5,5,1,5,3,1,2,3.272727272727273
terrykevin@burke.com,Jeffrey Wood,506.716.5726x28498,2025-04-09,Cardiology,1,1,5,2,3,3,5,2,3,2,3,2.727272727272727
ugraham@hotmail.com,Samuel Rivas,473-799-6507,2025-04-09,Neurology,4,3,1,1,4,3,1,1,3,2,3,2.3636363636363638
tonykelly@yahoo.com,Spencer Haynes,808-313-6783x777,2025-04-09,Neurology,4,5,4,5,1,1,1,2,5,1,3,2.909090909090909
phillipsrichard@torres.com,Joseph Coleman,001-855-744-4313x5182,2025-04-09,Neurology,5,2,4,2,1,3,3,1,3,2,2,2.5454545454545454
joannahill@bray.com,Elizabeth Ward,082-400-8427x1094,2025-04-09,Neurology,3,5,4,5,2,2,2,2,4,1,2,2.909090909090909
lalexander@gmail.com,Scott Wilson,671-902-2941,2025-04-09,Neurology,4,2,3,2,1,4,1,4,2,2,4,2.6363636363636362
grantrobert@gibbs.info,Elizabeth Chapman,(499)091-3341x23281,2025-04-09,Neurology,3,2,2,1,2,4,3,3,1,3,3,2.4545454545454546
ortizhannah@carter-hall.com,Jordan Mcdaniel,936-183-2421x024,2025-04-09,Neurology,4,5,3,1,1,3,2,5,3,1,1,2.6363636363636362
smartinez@yahoo.com,Terri Mason,719.065.9401x3990,2025-04-09,Neurology,4,3,3,4,5,5,1,4,5,2,3,3.5454545454545454
hinesgregory@hotmail.com,Sydney White,001-671-756-5512,2025-04-09,Neurology,4,1,5,5,2,3,4,1,3,5,3,3.272727272727273
ssteele@hotmail.com,Robin Pierce,154.516.8087x603,2025-04-09,Neurology,3,5,3,4,3,4,3,5,2,2,4,3.4545454545454546
wgarrett@gmail.com,Joshua Pennington,710.932.4808x613,2025-04-09,Neurology,2,5,5,3,4,5,1,3,3,2,4,3.3636363636363638
pvalentine@jimenez.com,Denise Davenport,378.263.9821x4658,2025-04-09,Neurology,5,3,4,4,4,2,5,4,2,1,3,3.3636363636363638
campbellkenneth@hotmail.com,Mary Grimes,875.588.6753x396,2025-04-09,Neurology,5,3,1,2,3,2,2,2,1,1,2,2.1818181818181817
vwilliams@thornton-shepherd.biz,Rebecca Pearson MD,2895171870,2025-04-09,Neurology,5,1,4,4,5,2,4,4,4,2,2,3.3636363636363638
jpitts@harrison.com,Jennifer Miller,865-780-9134x31611,2025-04-09,Neurology,1,4,2,2,5,4,1,5,2,1,4,2.8181818181818183
